,name,artist,release_year,duration,popularity,valence,energy,acousticness,danceability
18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight,Phil Collins,1981,336.453,0.77,0.298,0.23900000000000002,0.551,0.446
1AgQqthiTBuJBzkv0o5cFT,The Sex Is Good,Saving Abel,2010,211.453,0.54,0.76,0.634,0.10200000000000001,0.757
1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remastered Version,Blur,1997,121.16,0.77,0.918,0.789,0.0017800000000000001,0.674
1HbIDb6dtXMb1zNWdstsae,Arriving Somewhere But Not Here,Porcupine Tree,2005,722.2,0.05,0.0483,0.789,0.016,0.376
1ITw8c8sA1szdaPBHAmcBC,Just In Love,Joe Jonas,2011,207.293,0.4,0.6930000000000001,0.858,0.000384,0.67
1Jwc3ODLQxtbnS8M9TflSP,Walk Like an Egyptian,The Bangles,2004,204.706,0.68,0.8190000000000001,0.891,0.0034400000000000003,0.724
1L94M3KIu7QluZe63g64rv,Alive,Pearl Jam,1991,340.907,0.77,0.595,0.875,0.007520000000000001,0.28400000000000003
1MYlx4dBtiyjn7K8YSyfzT,The Real Slim Shady,Eminem,2005,284.8,0.6900000000000001,0.787,0.655,0.033100000000000004,0.9470000000000001
1OOtq8tRnDM8kG2gqUPjAj,Beat It - Single Version,Michael Jackson,1982,258.04,0.79,0.915,0.867,0.049100000000000005,0.779
1PPTlPJqKuL0fdoTmzwXJy,A Window to the Past,John Williams,2004,234.04,0.56,0.139,0.0443,0.9540000000000001,0.212
1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,Boston,1976,285.133,0.79,0.28800000000000003,0.682,0.0008939999999999999,0.377
1STAWoWHYJh2UVUx41pYMD,Lost!,Coldplay,2008,236.213,0.56,0.582,0.779,0.0057,0.359
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This),Eurythmics,1983,216.933,0.84,0.875,0.711,0.227,0.6920000000000001
1U6GisxpoQVpu1yCgYzxDf,Enjoy The Silence,Depeche Mode,2006,253.586,0.47000000000000003,0.738,0.77,0.081,0.651
1Vej0qeQ3ioKwpI6FUbRv1,Papercut,Linkin Park,2000,184.866,0.74,0.661,0.9390000000000001,0.00022,0.524
1W0YS64vF9qgMVLuN76aqg,Rise,Skillet,2013,260.786,0.63,0.381,0.921,0.012700000000000001,0.5700000000000001
1Y373MqadDRtclJNdnUXVc,Paranoid,Black Sabbath,1970,168.405,0.71,0.45,0.658,4.52e-05,0.41500000000000004
1ZAYsScO4yNVYPD07TSpXN,Jamaica Farewell,Harry Belafonte,2005,181.893,0.42,0.745,0.195,0.9510000000000001,0.598
1brwdYwjltrJo7WHpIvbYt,Faded,Alan Walker,2015,212.626,0.32,0.166,0.651,0.0291,0.589
1eLkoCxLbvvIF1BWiDF0Jm,Careless Whisper,George Michael,2016,302.693,0.01,0.784,0.771,0.158,0.551
1eyzqe2QqGZUmfcPZtrIyt,Midnight City,M83,2011,241.44,0.74,0.32,0.712,0.0161,0.526
1hKdDCpiI9mqz1jVHRKG0E,Enter Sandman,Metallica,1991,331.573,0.31,0.635,0.8240000000000001,0.00206,0.579
1iGXvUsVVkYBas0Cniw6NB,Hallowed Be Thy Name,Iron Maiden,1982,432.8,0.66,0.34800000000000003,0.909,0.00185,0.304
1n8NKQRg8LVHy7oUhUgbFF,Hedwig's Theme,John Williams,2001,309.093,0.62,0.077,0.162,0.897,0.156
1nRwyxNsqCLeA17qR8Nfxx,Quit Playing Games (With My Heart),Backstreet Boys,1996,233.533,0.68,0.882,0.875,0.061500000000000006,0.8
1ndGB6rvxKYN9seCYO1dTF,The Zephyr Song,Red Hot Chili Peppers,2002,231.933,0.6900000000000001,0.403,0.803,0.013000000000000001,0.725
1nv781jTeyQKBGJeDfWMdu,Here's To You,Joan Baez,2004,187.84,0.44,0.381,0.561,0.465,0.464
1qx8bj4quT6XuP5P9Eu12Z,I Want You To Know,Zedd,2015,238.8,0.1,0.354,0.873,0.00489,0.5650000000000001
1r1fPuhj9H4VdXr7OK6FL5,CASTLE OF GLASS,Linkin Park,2012,205.4,0.72,0.685,0.911,0.06860000000000001,0.615
1s4Ie0cT6P73SRSfh3oyGW,The Number Of The Beast,Iron Maiden,1982,291.373,0.6900000000000001,0.34400000000000003,0.93,0.0189,0.42
1sdz3nsrkX4Yo42KLPrmYV,Cloud Number Nine,Bryan Adams,1998,225.546,0.46,0.584,0.735,0.0682,0.589
1u0aIMrEBvFkRtgcg264gW,I Gotta Feeling,The Black Eyed Peas,2010,289.186,0.58,0.634,0.751,0.0792,0.74
1wHSxWBfPr3GO31y8KGrWe,Wish You Were Here,Pink Floyd,1975,334.743,0.24,0.375,0.262,0.735,0.481
1woL1W9wp2tKz9cFyc4NUm,Double Trouble,John Williams,2004,97.226,0.5,0.68,0.146,0.733,0.65
1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,2016,173.986,0.85,0.371,0.619,0.007840000000000001,0.791
1yGSAsMRNGW8AI98cWCLk5,FACK,Eminem,2005,205.76,0.58,0.357,0.6000000000000001,0.005690000000000001,0.845
20HfZ81MmRNL3wPXzZS9OD,Never Hear Surf Music Again,Free Blood,2008,226.77,0.0,0.319,0.493,0.0222,0.751
21Go4aMyLGP40ANI3TU0Fn,Geronimo,Sheppard,2014,218.227,0.13,0.46,0.779,0.421,0.708
21jBRxUvrWXTwBfGnQwyVy,"Another Brick In The Wall, Pt. 2",Pink Floyd,1979,238.746,0.72,0.719,0.394,0.0781,0.6940000000000001
2374M0fQpWi3dLnB54qaLX,Africa,Toto,1982,295.893,0.8300000000000001,0.732,0.373,0.257,0.671
24NwBd5vZ2CK8VOQVnqdxr,Sweet Emotion,Aerosmith,1975,274.133,0.74,0.491,0.76,0.0029800000000000004,0.38
2AGP16NS5LsvnskU9PdafD,Warriors,Imagine Dragons,2014,170.066,0.05,0.307,0.8230000000000001,0.0815,0.26
2Cy7QY8HPLk925AyNAt6OG,Black or White,Michael Jackson,2005,202.853,0.72,0.96,0.894,0.0824,0.741
2DPYlWl50ydYsnnuryL5aX,Cooler Than Me,Mike Posner,2009,227.84,0.65,0.769,0.515,0.10300000000000001,0.837
2DtPEKs3Pj7E06EoWW4vw8,Carnival of Rust,Poets of the Fall,2006,262.946,0.53,0.124,0.59,0.225,0.492
2FRnf9qhLbvw8fu4IBXx78,Last Christmas,Wham!,1984,262.96,0.72,0.9470000000000001,0.47800000000000004,0.189,0.735
2HHtWyy5CgaQbC7XSoOb0e,Eye of the Tiger,Survivor,1982,243.773,0.73,0.552,0.438,0.216,0.8150000000000001
2ISjP2XebyGSoKSM6Cnb0m,LIly's Theme,Alexandre Desplat,2011,148.813,0.55,0.027800000000000002,0.048,0.889,0.179
2IZZqH4K02UIYg5EohpNHF,Zombie,The Cranberries,1994,306.41,0.76,0.306,0.613,0.016300000000000002,0.299
2JA6A6Y5f4m7PawM58U2Op,Get It Started,Pitbull,2012,245.92,0.46,0.599,0.849,0.0668,0.6930000000000001
2LlQb7Uoj1kKyGhlkBf9aC,Thriller,Michael Jackson,1982,357.8,0.59,0.782,0.6880000000000001,0.0317,0.771
2OSfEYKhlSsLx6vn4O75RK,I Want You Back,The Jackson 5,1971,178.493,0.6900000000000001,0.928,0.65,0.457,0.665
2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction,The Rolling Stones,1965,222.813,0.6900000000000001,0.904,0.853,0.034800000000000005,0.725
2T43UrvAg60ubJVo5KQ3t7,Come And Get Your Love,Redbone,2010,208.306,0.67,0.97,0.481,0.231,0.793
2UREu1Y8CO4jXkbvqAtP7g,Monster,Skillet,2009,178.013,0.76,0.6920000000000001,0.9570000000000001,0.0431,0.64
2VNfJpwdEQBLyXajaa6LWT,Burning Down The House (45 Version),Talking Heads,1983,241.92,0.66,0.555,0.87,0.00644,0.779
2W5acFzXf5FrktecuD30Or,One Love,Blue,2003,207.186,0.59,0.854,0.722,0.024300000000000002,0.683
2WeSz9FLWE9RRIFDWtD5nc,The Trooper,Iron Maiden,1983,250.946,0.02,0.62,0.866,0.0175,0.28500000000000003
2WfaOiMkCvy7F5fcp2zZ8L,Take On Me,a-ha,1985,225.28,0.84,0.876,0.902,0.018000000000000002,0.5730000000000001
2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,Don Omar,2010,198.773,0.75,0.849,0.92,0.0813,0.467
2b9lp5A6CqSzwOrBfAFhof,Crazy Train,Ozzy Osbourne,1980,296.2,0.76,0.47300000000000003,0.906,0.361,0.453
2bCQHF9gdG5BNDVuEIEnNk,Smooth Criminal,Michael Jackson,1987,257.76,0.73,0.595,0.981,0.247,0.853
2cGxRwrMyEAp8dEbuZaVv6,Instant Crush,Daft Punk,2013,337.56,0.75,0.518,0.585,0.0422,0.775
2cbic3TiUENlJX91y67ARR,Skinny Love,Bon Iver,2008,238.52,0.75,0.109,0.263,0.844,0.593
2dzoV0QSVtGk2J99XSRsxh,Nothing Else Matters,Metallica,2009,388.733,0.0,0.17,0.364,0.0505,0.558
2fmqPLRFdJNPhLU3b2NSFp,Glory (From the Motion Picture Selma),Common,2014,272.727,0.61,0.5720000000000001,0.587,0.867,0.5670000000000001
2g8HN35AnVGIk7B8yMucww,Big Poppa,The Notorious B.I.G.,1994,252.746,0.76,0.758,0.578,0.432,0.778
2ldAdghnrO34HPcZ0IWfTu,Ten Feet Tall,Afrojack,2014,229.149,0.58,0.341,0.864,0.0388,0.524
2lnzGkdtDj5mtlcOW2yRtG,"Whenever, Wherever",Shakira,2001,196.16,0.75,0.872,0.8320000000000001,0.23600000000000002,0.793
2miAut6dp9BWdGmOxwSGEC,Sweet Dreams (Are Made Of This),Marilyn Manson,1995,293.293,0.6900000000000001,0.132,0.642,0.00502,0.39
2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,2003,185.586,0.84,0.243,0.863,0.0046,0.496
2nVHqZbOGkKWzlcy1aMbE7,Kashmir,Led Zeppelin,1975,508.2,0.7000000000000001,0.581,0.536,0.488,0.48
2oENJa1T33GJ0w8dC167G4,Fire Burning,Sean Kingston,2009,239.986,0.67,0.888,0.804,0.019200000000000002,0.839
2pYtUiFhiRH5ssLl7wBK4v,The Story Continues,Patrick Doyle,2005,89.186,0.47000000000000003,0.115,0.29,0.37,0.228
2pxAohyJptQWTQ5ZRWYijN,The Trooper,Iron Maiden,1983,250.973,0.71,0.6960000000000001,0.856,0.0238,0.28600000000000003
2rgtCOVK2tpfao2VjURn84,Lovers on the Sun (feat. Sam Martin),David Guetta,2014,203.52,0.65,0.5680000000000001,0.891,0.0932,0.645
2sNvitW3TxiTeC9xT9f2ZZ,Firestone,Kygo,2015,273.684,0.34,0.391,0.652,0.40800000000000003,0.486
2sXp9Qmvc7mRaDBjBgcGGi,Every Breath You Take,The Police,1983,253.886,0.74,0.729,0.46,0.56,0.8130000000000001
2tftivjRsvKs0jFH9h3Ti8,Hangover,Taio Cruz,2011,244.906,0.66,0.5760000000000001,0.885,0.00892,0.599
2vfshZvISOKy2Je7wQBWOV,Valentine's Day,Linkin Park,2007,196.813,0.58,0.41200000000000003,0.66,0.0252,0.654
2wqaekenSQZm7hxQOYt8oE,Am I Wrong,Nico & Vinz,2014,247.52,0.7000000000000001,0.76,0.68,0.162,0.725
2wroDH1nE0lZFjRyI6lIR6,Black Water,Of Monsters and Men,2015,253.293,0.48,0.201,0.617,0.0018100000000000002,0.47400000000000003
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,1979,208.4,0.84,0.422,0.913,0.0591,0.5730000000000001
31AOj9sFz2gM0O3hMARRBx,Losing My Religion,R.E.M.,1991,268.426,0.73,0.8290000000000001,0.849,0.163,0.671
32DGGj6KlNuBr6WaqRxpxi,How Long,Charlie Puth,2017,198.237,0.9400000000000001,0.779,0.581,0.189,0.849
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,Mark Ronson,2015,269.666,0.85,0.928,0.609,0.008010000000000001,0.856
34Jeq8ktRzyOW1uw40InVy,Uma Thurman,Fall Out Boy,2015,211.573,0.67,0.729,0.9530000000000001,0.113,0.624
34gCuhDGsG4bRPIf9bb02f,Thinking Out Loud,Ed Sheeran,2014,281.56,0.88,0.591,0.445,0.47400000000000003,0.781
35Vle8dEPRW22MGQsqj0vq,Tonight (I'm Fuckin' You),Enrique Iglesias,2010,232.213,0.61,0.321,0.89,0.029400000000000003,0.648
37ebs6hDGOWK8SDAB2kZG5,Friction,Imagine Dragons,2015,201.813,0.59,0.267,0.539,0.042800000000000005,0.672
38xW0OJtwMCTPE4SSwERBn,Beauty And The Beast,David Bowie,1977,216.466,0.45,0.6970000000000001,0.889,0.00133,0.537
39cFQHfY6tsdMRmSbFse3X,The Downeaster 'Alexa',Billy Joel,1989,223.266,0.56,0.681,0.808,0.11,0.457
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go,The Clash,1982,188.986,0.8,0.8160000000000001,0.833,0.079,0.742
3BsaRV5QIulYz2lV9WWa8T,Show Me the Meaning of Being Lonely,Backstreet Boys,1999,234.96,0.6000000000000001,0.683,0.625,0.231,0.63
3FREWTEY2uFxOorJZMmZPX,The Memory Remains,Metallica,1997,279.24,0.12,0.6000000000000001,0.904,0.000321,0.432
3GiE1hcocpQIEf1gC7fv2o,Alan Turing's Legacy,Alexandre Desplat,2014,116.52,0.63,0.10200000000000001,0.371,0.803,0.242
3GpbwCm3YxiWDvy29Uo3vP,Right Round,Flo Rida,2009,204.64,0.72,0.705,0.672,0.009000000000000001,0.72
3H7sv3Krffn15BufUuXzf3,Hey Jude,The Beatles,2000,425.653,0.72,0.532,0.607,0.0112,0.386
3Jhl9Bjqg8lTCoJTE9YtpD,I-E-A-I-A-I-O,System Of A Down,2002,188.6,0.46,0.433,0.791,0.000126,0.626
3K4HG9evC7dg3N0R9cYqk4,One Step Closer,Linkin Park,2000,157.333,0.76,0.538,0.969,0.0014,0.492
3LlAyCYU26dvFZBDUIMb7a,Demons,Imagine Dragons,2012,175.2,0.77,0.381,0.73,0.23,0.499
3LmpQiFNgFCnvAnhhvKUyI,Stayin' Alive,Bee Gees,2004,285.2,0.34,0.91,0.899,0.06960000000000001,0.675
3MrRksHupTVEQ7YbA0FsZK,The Final Countdown,Europe,1986,310.333,0.74,0.185,0.844,0.06280000000000001,0.536
3RKHTaha0FPoaOfpMXpQkJ,Time In A Bottle,Jim Croce,2011,148.586,0.1,0.58,0.154,0.886,0.532
3RiPr603aXAoi4GHyXx0uy,Hymn For The Weekend,Coldplay,2015,258.826,0.81,0.363,0.743,0.255,0.49
3S1tTwSKIZgf4QGltFyCxM,Everybody Wants To Rule The World,Lorde,2013,155.586,0.59,0.06720000000000001,0.5690000000000001,0.63,0.54
3Tw6AIJN83LTpyPa05FSG1,Rebirthing,Skillet,2008,241.733,0.30000000000000004,0.517,0.9580000000000001,0.00734,0.333
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,2013,269.56,0.86,0.331,0.264,0.922,0.422
3UMuQCHQPTP30xEjLzoHAQ,Magnetic,Flyleaf,2014,221.348,0.41000000000000003,0.745,0.87,0.121,0.595
3VZQshi4COChhXaz7cLP02,I Love It (feat. Charli XCX) - feat. Charli XCX,Icona Pop,2012,155.337,0.7000000000000001,0.838,0.905,0.00855,0.714
3VZmChrnVW8JK6ano4gSED,Sexual Healing,Marvin Gaye,1982,238.6,0.71,0.746,0.601,0.11900000000000001,0.805
3Wb4T8OJg4obJNBMUYgfPm,Blind Heart,CAZZETTE,2014,197.953,0.11,0.34600000000000003,0.8270000000000001,0.0844,0.722
3XC7Jd6SfrQYKZJ6inyRHK,The House Of The Rising Sun,The Animals,1992,269.906,0.72,0.299,0.484,0.000334,0.316
3Y8pg3FF5FivDAboCKnGOP,Wrong,Depeche Mode,2009,193.68,0.32,0.242,0.876,0.167,0.518
3Y9xtYyVyF13po6xePV5Cp,Bailando - English Version,Enrique Iglesias,2014,242.331,0.58,0.937,0.85,0.08410000000000001,0.723
3YfZ9L0ebJ9h14kMxAbTFM,"No Time for Caution (From ""Interstellar"")",London Music Works,2015,236.613,0.41000000000000003,0.0692,0.328,0.507,0.366
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie,Shakira,2006,218.093,0.84,0.756,0.8240000000000001,0.28400000000000003,0.778
3ZFwuJwUpIl0GeXsvF1ELf,Nothing Else Matters,Metallica,1991,388.733,0.32,0.17,0.364,0.0505,0.558
3ZZq9396zv8pcn5GYVhxUi,Down Under,Men At Work,1982,222.32,0.68,0.892,0.459,0.129,0.739
3ZffCQKLFLUvYM59XKLbVm,Wake Me Up When September Ends,Green Day,2004,285.653,0.79,0.146,0.8140000000000001,0.023,0.546
3cHyrEgdyYRjgJKSOiOtcS,Timber,Pitbull,2012,204.16,0.77,0.788,0.963,0.029500000000000002,0.581
3d9DChrdc6BOeFsbrZ3Is0,Under The Bridge,Red Hot Chili Peppers,1991,264.306,0.8300000000000001,0.458,0.34500000000000003,0.057600000000000005,0.559
3dxiWIBVJRlqh9xk144rf4,Breaking The Habit,Linkin Park,2003,196.906,0.67,0.581,0.849,0.108,0.579
3gbBpTdY8lnQwqxNCcf795,Pompeii,Bastille,2013,214.147,0.72,0.593,0.715,0.078,0.681
3gvhgrNvUyvckPGvmsGWGU,I've Been Waiting,Dear David,2014,346.908,0.34,0.704,0.779,0.00219,0.842
3l1bpC1lrAZ911bplYydPb,Courtyard Apocalypse,Alexandre Desplat,2011,120.386,0.46,0.131,0.313,0.487,0.137
3mGkPsZbHEBf8ZT1ExZnww,Scent of a Woman: Tango (Por Una Cabeza),Carlos Gardel,1997,231.16,0.46,0.429,0.134,0.8210000000000001,0.34900000000000003
3mr584ZFSkZrWja9kJAzlb,Skyfall,Adele,2012,286.481,0.68,0.0789,0.552,0.417,0.34600000000000003
3n69hLUdIsSa1WlRmjMZlW,Breezeblocks,alt-J,2012,227.08,0.74,0.28600000000000003,0.656,0.096,0.616
